[2025-10-04 23:01:22,915] [watcher] Watcher started. Control file: C:\AttendanceAutomation\control.txt
[2025-10-04 23:01:23,404] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:23,480] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:23,491] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:26,992] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:27,120] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:27,131] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:30,617] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:30,797] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:30,805] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:34,290] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:34,520] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:34,530] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:38,010] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:38,126] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:38,135] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:41,736] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:41,808] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:41,819] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:45,407] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:45,502] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:45,514] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:49,085] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:49,220] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:49,229] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:52,852] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:52,929] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:52,939] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:01:56,515] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:01:56,609] [watcher] Network available. Starting supervisor.
[2025-10-04 23:01:56,617] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:02:00,206] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:02:00,273] [watcher] Network available. Starting supervisor.
